order_id,product,region,sales_amount,order_date
1001,Widget A,US-East,1250.50,2024-01-15
1002,Widget B,US-West,890.25,2024-01-16
1003,Gadget X,US-East,2100.00,2024-01-17
1004,Widget A,US-Central,675.75,2024-01-18
1005,Widget C,US-West,1430.10,2024-01-19
1006,Gadget Y,US-East,980.00,2024-01-20
1007,Widget B,US-Central,1125.40,2024-01-21
1008,Widget C,US-East,760.20,2024-01-22
1009,Gadget X,US-West,1890.99,2024-01-23
1010,Widget A,US-Central,540.00,2024-01-24
1011,Widget B,US-East,1320.35,2024-02-01
1012,Gadget Y,US-West,845.60,2024-02-02
1013,Widget C,US-Central,990.45,2024-02-03
1014,Widget A,US-West,1575.80,2024-02-04
1015,Gadget X,US-Central,2033.15,2024-02-05
